flight_sk,flight_id,ambiguous_id,airline,source,destination,route,departure_time,arrival_time,duration_minutes,is_overnight,data_quality_flag,is_duration_anomaly
SJ112,SJ112,False,SpiceJet,HYD,DEL,HYD-DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,140.0,True,clean,False
6F164,6F164,False,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,True,clean,False
UK021,UK021,False,Vistara,HYD,MAA,HYD-MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,110.0,False,clean,False
SJ172,SJ172,False,SpiceJet,CCU,DEL,CCU-DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,196.0,True,clean,False
AI060,AI060,False,Air India,DEL,HYD,DEL-HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,113.0,False,clean,False
SJ205,SJ205,False,SpiceJet,HYD,CCU,HYD-CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,False,clean,False
SJ093,SJ093,False,SpiceJet,BLR,BOM,BLR-BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,66.0,False,clean,False
6F195,6F195,False,IndiGo,CCU,DEL,CCU-DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,55.0,False,clean,False
UK003,UK003,False,Vistara,HYD,DEL,HYD-DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,278.0,True,clean,False
UK026,UK026,False,Vistara,HYD,MAA,HYD-MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,False,clean,False
6F174,6F174,False,IndiGo,DEL,HYD,DEL-HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,40.0,False,clean,False
UK067,UK067,False,Vistara,BOM,CCU,BOM-CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,206.0,True,clean,False
SJ149,SJ149,False,SpiceJet,HYD,MAA,HYD-MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,120.00496666666666,False,clean,False
6F213,6F213,False,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,207.0,True,clean,False
UK200,UK200,False,Vistara,CCU,DEL,CCU-DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,111.0,False,clean,False
SJ214,SJ214,False,SpiceJet,BOM,MAA,BOM-MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,76.0,False,clean,False
SJ047,SJ047,False,SpiceJet,HYD,BOM,HYD-BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,37.0,False,clean,False
AI179,AI179,False,Air India,HYD,BOM,HYD-BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,278.0,True,clean,False
SJ153,SJ153,False,SpiceJet,DEL,CCU,DEL-CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,83.0,False,clean,False
6F236,6F236,False,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,199.0,False,clean,False
UK059,UK059,False,Vistara,HYD,MAA,HYD-MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,97.0,False,clean,False
SJ001,SJ001,False,SpiceJet,BOM,MAA,BOM-MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,287.0,True,clean,False
SJ049,SJ049,False,SpiceJet,CCU,DEL,CCU-DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,True,clean,False
6F086,6F086,False,IndiGo,MAA,HYD,MAA-HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,37.0,False,clean,False
AI220,AI220,False,Air India,BOM,DEL,BOM-DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,98.0,False,clean,False
AI188,AI188,False,Air India,CCU,HYD,CCU-HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,166.0,False,clean,False
6F114,6F114,False,IndiGo,BOM,MAA,BOM-MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,50.0,False,clean,False
SJ179,SJ179,False,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,210.0,False,clean,False
6F190,6F190,False,IndiGo,DEL,MAA,DEL-MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,274.0,True,clean,False
SJ003,SJ003,False,SpiceJet,MAA,CCU,MAA-CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,42.0,False,clean,False
6F028,6F028,False,IndiGo,HYD,CCU,HYD-CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,120.0,False,clean,False
UK036,UK036,False,Vistara,CCU,BLR,CCU-BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,264.0,True,clean,False
SJ160,SJ160,False,SpiceJet,MAA,BLR,MAA-BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,45.0,False,clean,False
6F151,6F151,False,IndiGo,CCU,HYD,CCU-HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,140.0,False,clean,False
UK140,UK140,False,Vistara,MAA,BLR,MAA-BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,83.0,False,clean,False
AI115,AI115,False,Air India,MAA,BLR,MAA-BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,289.0,True,clean,False
AI132,AI132,False,Air India,BLR,BOM,BLR-BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,129.0,False,clean,False
UK209,UK209,False,Vistara,MAA,BLR,MAA-BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,165.0,False,clean,False
SJ043,SJ043,False,SpiceJet,MAA,DEL,MAA-DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,129.0,False,clean,False
UK176,UK176,False,Vistara,HYD,BLR,HYD-BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,248.0,False,clean,False
UK216,UK216,False,Vistara,MAA,HYD,MAA-HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,194.0,False,clean,False
UK150,UK150,False,Vistara,DEL,CCU,DEL-CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,30.0,False,clean,False
UK145,UK145,False,Vistara,BOM,HYD,BOM-HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,131.0,False,clean,False
6F270,6F270,False,IndiGo,HYD,MAA,HYD-MAA,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,48.0,False,clean,False
6F012,6F012,False,IndiGo,CCU,HYD,CCU-HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,205.0,False,clean,False
SJ236,SJ236,False,SpiceJet,MAA,BOM,MAA-BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,239.0,False,clean,False
6F149,6F149,False,IndiGo,BLR,CCU,BLR-CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,165.0,False,clean,False
UK004,UK004,False,Vistara,BOM,CCU,BOM-CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,34.0,False,clean,False
UK010,UK010,False,Vistara,MAA,HYD,MAA-HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,167.0,False,clean,False
UK215,UK215,False,Vistara,BOM,DEL,BOM-DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,132.0,False,clean,False
SJ116,SJ116,False,SpiceJet,HYD,CCU,HYD-CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,89.0,False,clean,False
SJ023,SJ023,False,SpiceJet,HYD,MAA,HYD-MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,102.0,False,clean,False
UK152,UK152,False,Vistara,BOM,CCU,BOM-CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,169.0,False,clean,False
SJ202,SJ202,False,SpiceJet,CCU,HYD,CCU-HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,107.0,False,clean,False
6F043,6F043,False,IndiGo,BOM,HYD,BOM-HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,86.0,False,clean,False
UK173,UK173,False,Vistara,MAA,BLR,MAA-BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,256.0,False,clean,False
SJ081,SJ081,False,SpiceJet,BOM,BLR,BOM-BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,109.0,False,clean,False
UK153,UK153,False,Vistara,CCU,HYD,CCU-HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,241.0,False,clean,False
UK187,UK187,False,Vistara,BLR,BOM,BLR-BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,110.0,False,clean,False
UK055,UK055,False,Vistara,HYD,DEL,HYD-DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,163.0,False,clean,False
UK181,UK181,False,Vistara,MAA,DEL,MAA-DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,162.0,False,clean,False
UK074,UK074,False,Vistara,BOM,DEL,BOM-DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,117.0,False,clean,False
SJ068,SJ068,False,SpiceJet,BLR,BOM,BLR-BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,124.0,False,clean,False
AI242,AI242,False,Air India,BLR,CCU,BLR-CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,62.0,False,clean,False
SJ237,SJ237,False,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,148.0,False,clean,False
6F194,6F194,False,IndiGo,BOM,CCU,BOM-CCU,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,118.0,False,clean,False
UK063,UK063,False,Vistara,DEL,BOM,DEL-BOM,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,72.0,False,clean,False
UK068,UK068,False,Vistara,BLR,MAA,BLR-MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,101.0,False,clean,False
UK224,UK224,False,Vistara,CCU,MAA,CCU-MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,239.0,False,clean,False
UK077,UK077,False,Vistara,HYD,BOM,HYD-BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,98.0,False,clean,False
UK207,UK207,False,Vistara,MAA,CCU,MAA-CCU,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,75.0,False,clean,False
AI221,AI221,False,Air India,MAA,HYD,MAA-HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,156.0,False,clean,False
UK109,UK109,False,Vistara,BLR,BOM,BLR-BOM,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,60.00496666666666,False,clean,False
UK089,UK089,False,Vistara,BOM,HYD,BOM-HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,252.0,False,clean,False
AI072,AI072,False,Air India,BLR,CCU,BLR-CCU,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,58.0,False,clean,False
UK131,UK131,False,Vistara,BOM,DEL,BOM-DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,246.0,False,clean,False
SJ150,SJ150,False,SpiceJet,BOM,HYD,BOM-HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,210.0,False,clean,False
6F097,6F097,False,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,77.0,False,clean,False
6F123,6F123,False,IndiGo,DEL,HYD,DEL-HYD,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,106.0,False,clean,False
6F017,6F017,False,IndiGo,CCU,BOM,CCU-BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,False,clean,False
6F245,6F245,False,IndiGo,CCU,BOM,CCU-BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,False,clean,False
6F180,6F180,False,IndiGo,MAA,BLR,MAA-BLR,2026-04-20 15:24:41.703,2026-04-20 19:48:41.703,264.0,False,clean,False
6F152,6F152,False,IndiGo,CCU,DEL,CCU-DEL,2026-04-20 15:21:41.703,2026-04-20 17:25:41.703,124.0,False,clean,False
SJ034,SJ034,False,SpiceJet,MAA,BOM,MAA-BOM,2026-04-20 15:20:41.701,2026-04-20 20:11:41.701,291.0,False,clean,False
SJ142,SJ142,False,SpiceJet,CCU,BOM,CCU-BOM,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,102.0,False,clean,False
UK189,UK189,False,Vistara,BLR,MAA,BLR-MAA,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,224.0,False,clean,False
SJ044,SJ044,False,SpiceJet,DEL,CCU,DEL-CCU,2026-04-20 15:06:41.701,2026-04-20 17:43:41.701,157.0,False,clean,False
SJ196,SJ196,False,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 14:58:41.703,2026-04-20 17:44:41.703,166.0,False,clean,False
6F188,6F188,False,IndiGo,DEL,HYD,DEL-HYD,2026-04-20 14:57:41.703,2026-04-20 19:39:41.703,282.0,False,clean,False
6F181,6F181,False,IndiGo,BOM,MAA,BOM-MAA,2026-04-20 14:55:41.703,2026-04-20 16:43:41.703,108.0,False,clean,False
6F077,6F077,False,IndiGo,CCU,DEL,CCU-DEL,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,258.0,False,clean,False
SJ154,SJ154,False,SpiceJet,BLR,HYD,BLR-HYD,2026-04-20 14:47:41.702,2026-04-20 16:26:41.702,99.0,False,clean,False
AI025,AI025,False,Air India,HYD,DEL,HYD-DEL,2026-04-20 14:46:41.701,2026-04-20 17:11:41.701,145.0,False,clean,False
AI094,AI094,False,Air India,DEL,BLR,DEL-BLR,2026-04-20 14:44:41.702,2026-04-20 15:44:42.000,60.00496666666666,False,clean,False
6F191,6F191,False,IndiGo,BLR,DEL,BLR-DEL,2026-04-20 14:41:41.703,2026-04-20 15:11:41.703,30.0,False,clean,False
SJ085,SJ085,False,SpiceJet,BLR,MAA,BLR-MAA,2026-04-20 14:41:41.702,2026-04-20 19:11:41.702,270.0,False,clean,False
6F261,6F261,False,IndiGo,CCU,DEL,CCU-DEL,2026-04-20 14:31:41.703,2026-04-20 17:29:41.703,178.0,False,clean,False
6F129,6F129,False,IndiGo,DEL,CCU,DEL-CCU,2026-04-20 14:28:41.702,2026-04-20 16:47:41.702,139.0,False,clean,False
6F254,6F254,False,IndiGo,MAA,BLR,MAA-BLR,2026-04-20 14:26:41.703,2026-04-20 18:01:41.703,215.0,False,clean,False
SJ185,SJ185,False,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 14:21:41.703,2026-04-20 15:21:41.703,60.0,False,clean,False
6F030,6F030,False,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 14:20:41.701,2026-04-20 17:10:41.701,170.0,False,clean,False
SJ222,SJ222,False,SpiceJet,BOM,DEL,BOM-DEL,2026-04-20 14:15:41.703,2026-04-20 17:09:41.703,174.0,False,clean,False
6F259,6F259,False,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 14:10:41.703,2026-04-20 15:21:41.703,71.0,False,clean,False
UK083,UK083,False,Vistara,DEL,HYD,DEL-HYD,2026-04-20 14:10:41.702,2026-04-20 14:59:41.702,49.0,False,clean,False
6F051,6F051,False,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 13:58:41.701,2026-04-20 15:58:41.701,120.0,False,clean,False
SJ088,SJ088,False,SpiceJet,CCU,MAA,CCU-MAA,2026-04-20 13:54:41.702,2026-04-20 14:26:41.702,32.0,False,clean,False
6F146,6F146,False,IndiGo,HYD,MAA,HYD-MAA,2026-04-20 13:51:41.703,2026-04-20 15:07:41.703,76.0,False,clean,False
6F047,6F047,False,IndiGo,MAA,DEL,MAA-DEL,2026-04-20 13:50:41.701,2026-04-20 15:55:41.701,125.0,False,clean,False
AI077,AI077,False,Air India,CCU,HYD,CCU-HYD,2026-04-20 13:45:41.702,2026-04-20 14:51:41.702,66.0,False,clean,False
UK134,UK134,False,Vistara,HYD,CCU,HYD-CCU,2026-04-20 13:44:41.702,2026-04-20 17:26:41.702,222.0,False,clean,False
AI056,AI056,False,Air India,DEL,MAA,DEL-MAA,2026-04-20 13:44:41.701,2026-04-20 17:39:41.701,235.0,False,clean,False
UK141,UK141,False,Vistara,HYD,MAA,HYD-MAA,2026-04-20 13:38:41.703,2026-04-20 15:59:41.703,141.0,False,clean,False
AI030,AI030,False,Air India,CCU,HYD,CCU-HYD,2026-04-20 13:33:41.701,2026-04-20 16:52:41.701,199.0,False,clean,False
AI029,AI029,False,Air India,MAA,DEL,MAA-DEL,2026-04-20 13:29:41.701,2026-04-20 17:53:41.701,264.0,False,clean,False
SJ167,SJ167,False,SpiceJet,MAA,CCU,MAA-CCU,2026-04-20 13:18:41.703,2026-04-20 14:12:41.703,54.0,False,clean,False
UK017,UK017,False,Vistara,BLR,HYD,BLR-HYD,2026-04-20 13:14:41.701,2026-04-20 14:49:41.701,95.0,False,clean,False
6F229,6F229,False,IndiGo,MAA,DEL,MAA-DEL,2026-04-20 13:10:41.704,2026-04-20 14:30:41.704,80.0,False,clean,False
SJ117,SJ117,False,SpiceJet,MAA,BLR,MAA-BLR,2026-04-20 13:10:41.702,2026-04-20 17:06:41.702,236.0,False,clean,False
6F184,6F184,False,IndiGo,MAA,BOM,MAA-BOM,2026-04-20 13:05:41.703,2026-04-20 16:04:41.703,179.0,False,clean,False
AI031,AI031,False,Air India,DEL,MAA,DEL-MAA,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,186.0,False,clean,False
AI178,AI178,False,Air India,CCU,BLR,CCU-BLR,2026-04-20 13:04:41.703,2026-04-20 14:03:41.703,59.0,False,clean,False
SJ089,SJ089,False,SpiceJet,HYD,CCU,HYD-CCU,2026-04-20 12:42:41.702,2026-04-20 17:15:41.702,273.0,False,clean,False
UK166,UK166,False,Vistara,HYD,MAA,HYD-MAA,2026-04-20 12:39:41.703,2026-04-20 17:32:41.703,293.0,False,clean,False
UK104,UK104,False,Vistara,DEL,BOM,DEL-BOM,2026-04-20 12:30:41.702,2026-04-20 13:52:41.702,82.0,False,clean,False
6F168,6F168,False,IndiGo,HYD,DEL,HYD-DEL,2026-04-20 12:18:41.703,2026-04-20 15:58:41.703,220.0,False,clean,False
AI222,AI222,False,Air India,BOM,DEL,BOM-DEL,2026-04-20 12:10:41.703,2026-04-20 13:14:41.703,64.0,False,clean,False
SJ025,SJ025,False,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 12:02:41.701,2026-04-20 15:29:41.701,207.0,False,clean,False
6F255,6F255,False,IndiGo,DEL,BOM,DEL-BOM,2026-04-20 11:59:41.703,2026-04-20 15:33:41.703,214.0,False,clean,False
UK228,UK228,False,Vistara,DEL,MAA,DEL-MAA,2026-04-20 11:58:41.704,2026-04-20 15:08:41.704,190.0,False,clean,False
6F158,6F158,False,IndiGo,CCU,MAA,CCU-MAA,2026-04-20 11:58:41.703,2026-04-20 16:04:41.703,246.0,False,clean,False
SJ218,SJ218,False,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 11:58:41.703,2026-04-20 15:03:41.703,185.0,False,clean,False
6F034,6F034,False,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 11:53:41.701,2026-04-20 12:49:41.701,56.0,False,clean,False
UK156,UK156,False,Vistara,MAA,BLR,MAA-BLR,2026-04-20 11:50:41.703,2026-04-20 15:54:41.703,244.0,False,clean,False
6F105,6F105,False,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 11:46:41.702,2026-04-20 12:58:41.702,72.0,False,clean,False
6F073,6F073,False,IndiGo,DEL,CCU,DEL-CCU,2026-04-20 11:38:41.702,2026-04-20 15:18:41.702,220.0,False,clean,False
SJ074,SJ074,False,SpiceJet,DEL,CCU,DEL-CCU,2026-04-20 11:21:41.701,2026-04-20 12:02:41.701,41.0,False,clean,False
6F234,6F234,False,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 11:20:41.704,2026-04-20 14:11:41.704,171.0,False,clean,False
6F068,6F068,False,IndiGo,BLR,HYD,BLR-HYD,2026-04-20 11:17:41.701,2026-04-20 15:06:41.701,229.0,False,clean,False
6F074,6F074,False,IndiGo,HYD,BOM,HYD-BOM,2026-04-20 11:09:41.702,2026-04-20 14:29:41.702,200.0,False,clean,False
AI038,AI038,False,Air India,HYD,MAA,HYD-MAA,2026-04-20 11:05:41.701,2026-04-20 15:44:41.701,279.0,False,clean,False
AI079,AI079,False,Air India,CCU,BLR,CCU-BLR,2026-04-20 11:04:41.702,2026-04-20 13:19:41.702,135.0,False,clean,False
SJ018,SJ018,False,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 10:58:41.701,2026-04-20 13:31:41.701,153.0,False,clean,False
6F018,6F018,False,IndiGo,DEL,BLR,DEL-BLR,2026-04-20 10:57:41.701,2026-04-20 11:43:41.701,46.0,False,clean,False
AI091,AI091,False,Air India,CCU,MAA,CCU-MAA,2026-04-20 10:52:41.702,2026-04-20 15:15:41.702,263.0,False,clean,False
UK071,UK071,False,Vistara,DEL,HYD,DEL-HYD,2026-04-20 10:50:41.701,2026-04-20 14:06:41.701,196.0,False,clean,False
AI019,AI019,False,Air India,BOM,CCU,BOM-CCU,2026-04-20 10:49:41.701,2026-04-20 11:51:41.701,62.0,False,clean,False
UK212,UK212,False,Vistara,HYD,MAA,HYD-MAA,2026-04-20 10:46:41.704,2026-04-20 11:31:41.704,45.0,False,clean,False
AI146,AI146,False,Air India,BLR,DEL,BLR-DEL,2026-04-20 10:40:41.702,2026-04-20 13:46:41.702,186.0,False,clean,False
6F232,6F232,False,IndiGo,MAA,BLR,MAA-BLR,2026-04-20 10:39:41.704,2026-04-20 12:22:41.704,103.0,False,clean,False
6F084,6F084,False,IndiGo,CCU,HYD,CCU-HYD,2026-04-20 10:34:41.702,2026-04-20 11:34:42.000,60.00496666666666,False,clean,False
AI129,AI129,False,Air India,BOM,CCU,BOM-CCU,2026-04-20 10:29:41.702,2026-04-20 13:38:41.702,189.0,False,clean,False
AI240,AI240,False,Air India,MAA,DEL,MAA-DEL,2026-04-20 10:19:41.704,2026-04-20 12:46:41.704,147.0,False,clean,False
6F091,6F091,False,IndiGo,BLR,CCU,BLR-CCU,2026-04-20 10:10:41.702,2026-04-20 11:36:41.702,86.0,False,clean,False
UK133,UK133,False,Vistara,BOM,DEL,BOM-DEL,2026-04-20 10:04:41.702,2026-04-20 13:16:41.702,192.0,False,clean,False
SJ007,SJ007,False,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 10:03:41.701,2026-04-20 14:53:41.701,290.0,False,clean,False
SJ141,SJ141,False,SpiceJet,CCU,DEL,CCU-DEL,2026-04-20 10:00:41.702,2026-04-20 13:37:41.702,217.0,False,clean,False
6F049,6F049,False,IndiGo,HYD,DEL,HYD-DEL,2026-04-20 10:00:41.701,2026-04-20 13:13:41.701,193.0,False,clean,False
SJ235,SJ235,False,SpiceJet,BOM,DEL,BOM-DEL,2026-04-20 09:57:41.704,2026-04-20 13:45:41.704,228.0,False,clean,False
UK087,UK087,False,Vistara,HYD,MAA,HYD-MAA,2026-04-20 09:49:41.702,2026-04-20 13:17:41.702,208.0,False,clean,False
UK170,UK170,False,Vistara,BOM,BLR,BOM-BLR,2026-04-20 09:42:41.703,2026-04-20 11:32:41.703,110.0,False,clean,False
SJ078,SJ078,False,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 09:41:41.701,2026-04-20 12:49:41.701,188.0,False,clean,False
SJ075,SJ075,False,SpiceJet,MAA,BLR,MAA-BLR,2026-04-20 09:26:41.701,2026-04-20 11:03:41.701,97.0,False,clean,False
AI159,AI159,False,Air India,HYD,BLR,HYD-BLR,2026-04-20 09:23:41.703,2026-04-20 11:36:41.703,133.0,False,clean,False
UK120,UK120,False,Vistara,HYD,DEL,HYD-DEL,2026-04-20 09:19:41.702,2026-04-20 13:30:41.702,251.0,False,clean,False
AI059,AI059,False,Air India,CCU,DEL,CCU-DEL,2026-04-20 09:16:41.701,2026-04-20 11:43:41.701,147.0,False,clean,False
UK040,UK040,False,Vistara,HYD,CCU,HYD-CCU,2026-04-20 09:15:41.701,2026-04-20 10:32:41.701,77.0,False,clean,False
AI044,AI044,False,Air India,MAA,BLR,MAA-BLR,2026-04-20 09:03:41.701,2026-04-20 12:36:41.701,213.0,False,clean,False
AI078,AI078,False,Air India,DEL,BOM,DEL-BOM,2026-04-20 08:58:41.702,2026-04-20 13:28:41.702,270.0,False,clean,False
SJ226,SJ226,False,SpiceJet,HYD,BOM,HYD-BOM,2026-04-20 08:47:41.704,2026-04-20 12:54:41.704,247.0,False,clean,False
